epoch	accuracy	loss	val_accuracy	val_loss
0	0.645113409	0.742876709	0.569824219	3.519984722
1	0.725673079	0.542967379	0.699707031	0.80775851
2	0.746025026	0.498510092	0.720214844	0.538464069
3	0.749629021	0.465641916	0.763671875	0.490665257
4	0.760440946	0.456418037	0.758789063	0.492426693
5	0.767860949	0.446131259	0.769042969	0.464542985
6	0.782488883	0.421833575	0.776367188	0.479584932
7	0.790756822	0.414786965	0.759277344	0.482511282
8	0.785244882	0.420518845	0.770019531	0.474101812
9	0.792664826	0.402518988	0.748535156	0.508192062
10	0.794784844	0.400778323	0.763183594	0.483018368
